Unnamed: 0,age,upgraded,gender,category,score1,score2,score3,pred_cluster
4937,40,0,1,2,4.01139225112,1.55072770695,-0.135729022789,2
4938,40,0,1,2,4.00155337762,1.55072770695,-0.14108869322,2
4939,42,0,1,2,3.27935795958,1.94009326373,-0.92361342245,2
4940,43,0,1,2,2.89078986181,2.3484280613,-0.949569348304,2
5182,41,1,1,2,4.21002111182,1.12492959699,-0.60398793905,2
5183,40,1,1,2,4.24112031785,1.12164498778,-0.527902609002,2
5185,38,1,1,2,4.68382958044,0.908702010225,-0.341664426138,2
5186,38,1,1,2,4.67534693309,0.908702010225,-0.347715403615,2
5187,40,1,1,2,3.98877701069,1.53329093985,-0.186004294957,2
5188,39,1,1,2,4.11090798208,1.49049670636,-0.123647014724,2
5255,40,1,1,1,4.24628523853,1.30597869953,-0.579100767167,2
5256,38,1,1,1,4.81003495145,0.885790286426,-0.37015235909,2
5257,38,1,1,1,4.60527687298,1.24616985303,-0.186388684758,2
